Year,Mo,Dy,tave,tmax,tmin,vp,rhmax,rhmin,pp,gust
2000,6,21,17.047,26.278000000000002,7.817,1.053,0.895,0.19,0.0,7.4479999999999995
2000,6,22,21.061999999999998,31.576,10.549000000000001,1.186,0.809,0.141,0.0,6.017
2000,6,23,23.198,31.340999999999998,15.054,1.131,0.657,0.138,0.0,10.623
2000,6,24,23.03,32.902,13.158,1.25,0.7509999999999999,0.138,0.0,11.29
2000,6,25,18.831,24.388,13.274000000000001,1.357,0.86,0.38799999999999996,0.0,8.957
2000,6,26,12.623,14.594000000000001,10.652000000000001,1.22,1.012,0.6579999999999999,0.0,6.233
2000,6,27,16.427,19.894000000000002,12.959000000000001,1.492,0.978,0.619,0.0,7.899
2000,6,28,15.054,20.441,9.667,1.308,1.01,0.519,0.0,8.526
2000,6,29,21.197,31.748,10.645999999999999,1.367,0.9590000000000001,0.128,0.0,7.644
2000,6,30,21.808000000000003,31.434,12.181,1.5,0.9620000000000001,0.18600000000000003,0.0,7.585
2000,7,1,22.201,30.679000000000002,13.722000000000001,1.355,0.778,0.23399999999999999,0.0,9.349
2000,7,2,23.364,32.293,14.436,1.391,0.8220000000000001,0.147,0.0,8.134
2000,7,3,24.112,31.081999999999997,17.142,1.454,0.7959999999999999,0.172,0.0,6.801
2000,7,4,23.334,32.541,14.127,1.265,0.7879999999999999,0.094,0.0,9.565
2000,7,5,23.703000000000003,31.281,16.124000000000002,1.235,0.6629999999999999,0.18,0.0,7.605
2000,7,6,25.901999999999997,35.217,16.588,1.817,0.973,0.114,0.0,7.957999999999999
2000,7,7,25.408,33.959,16.857,1.286,0.696,0.096,0.0,9.349
2000,7,8,25.154,31.897,18.412,1.494,0.693,0.242,0.0,8.467
2000,7,9,24.338,31.684,16.992,1.508,0.772,0.218,0.0,8.957
2000,7,10,23.401999999999997,30.366999999999997,16.438,1.692,0.894,0.282,0.0,7.801
2000,7,11,24.4,32.43,16.37,1.764,0.966,0.188,0.0,6.212999999999999
2000,7,12,24.078000000000003,30.980999999999998,17.174,1.6480000000000001,0.8,0.299,0.0,11.682
2000,7,13,24.038,33.351,14.725,1.788,0.965,0.231,0.0,6.7620000000000005
2000,7,14,24.925,33.817,16.033,1.55,0.8290000000000001,0.154,0.0,6.292000000000001
2000,7,15,26.085,34.034,18.137,1.5730000000000002,0.718,0.213,0.0,9.604
2000,7,16,21.908,27.798000000000002,16.018,1.909,0.985,0.467,0.0,8.761000000000001
2000,7,17,18.41,21.764,15.056,1.788,0.99,0.698,0.0,10.29
2000,7,18,23.219,32.701,13.737,1.61,0.986,0.145,0.0,8.448
2000,7,19,22.461,30.316,14.606,1.6,0.941,0.235,0.0,7.4479999999999995
2000,7,20,22.627,28.785,16.469,1.399,0.74,0.27899999999999997,0.0,10.642999999999999
2000,7,21,21.384,28.587,14.182,1.601,0.899,0.358,0.0,9.878
2000,7,22,21.405,29.354,13.456,1.554,0.934,0.28600000000000003,0.0,6.331
2000,7,23,23.453000000000003,33.227,13.679,1.4880000000000002,0.922,0.109,0.0,17.385
2000,7,24,24.361,34.661,14.061,1.4,0.799,0.11900000000000001,0.0,8.546
2000,7,25,22.688000000000002,30.912,14.464,1.249,0.762,0.145,0.0,13.054
2000,7,26,23.973000000000003,31.78,16.166,1.273,0.67,0.184,0.0,9.663
2000,7,27,24.064,31.309,16.82,1.421,0.726,0.223,0.0,7.272
2000,7,28,23.055999999999997,30.198,15.915,1.6059999999999999,0.821,0.318,0.0,6.644
2000,7,29,23.576,31.658,15.493,1.536,0.85,0.20600000000000002,0.0,5.782
2000,7,30,22.553,30.771,14.335,1.338,0.779,0.2,0.0,6.0760000000000005
2000,7,31,22.519000000000002,30.627,14.411,1.239,0.723,0.185,0.0,5.292000000000001
2000,8,1,24.409000000000002,33.728,15.089,1.433,0.765,0.172,0.0,13.857000000000001
2000,8,2,24.241,31.006,17.476,1.5490000000000002,0.767,0.256,0.0,7.33
2000,8,3,24.575,32.125,17.024,1.774,0.8909999999999999,0.257,0.0,6.997000000000001
2000,8,4,24.18,31.974,16.385,1.861,0.953,0.28,0.0,13.269
2000,8,5,24.733,32.662,16.804000000000002,1.7209999999999999,0.9490000000000001,0.155,0.0,12.505
2000,8,6,21.473000000000003,30.076,12.869000000000002,1.3969999999999998,0.882,0.209,0.0,7.722
2000,8,7,22.623,32.509,12.738,1.452,0.897,0.161,0.0,11.505
2000,8,8,24.3,35.204,13.397,1.506,0.889,0.10300000000000001,0.0,7.0760000000000005
2000,8,9,23.953000000000003,32.95,14.956,1.433,0.6920000000000001,0.271,0.0,6.664
2000,8,10,22.249000000000002,29.555,14.943,1.6540000000000001,0.8809999999999999,0.35100000000000003,0.0,5.957999999999999
2000,8,11,25.023000000000003,33.617,16.429000000000002,1.655,0.847,0.196,0.0,11.113
2000,8,12,22.031999999999996,26.951999999999998,17.112000000000002,1.5019999999999998,0.8009999999999999,0.33299999999999996,0.0,5.547000000000001
2000,8,13,22.933000000000003,31.049,14.815999999999999,1.5959999999999999,0.848,0.293,0.0,6.938
2000,8,14,24.226999999999997,33.971,14.482999999999999,1.524,0.855,0.152,0.0,5.742999999999999
2000,8,15,24.929000000000002,31.584,18.274,1.906,0.89,0.318,0.0,9.642999999999999
2000,8,16,23.316999999999997,28.991,17.644000000000002,1.776,0.858,0.38299999999999995,0.0,7.1739999999999995
2000,8,17,19.917,23.043000000000003,16.791,1.54,0.92,0.40399999999999997,0.0,7.388999999999999
2000,8,18,19.271,24.11,14.432,1.649,0.997,0.478,0.0,6.212999999999999
2000,8,19,22.585,30.714000000000002,14.457,1.55,0.9079999999999999,0.223,0.0,6.644
2000,8,20,22.016,29.64,14.392000000000001,1.548,0.909,0.261,0.0,8.977
2000,8,21,19.213,24.316999999999997,14.109000000000002,1.4980000000000002,0.88,0.466,0.0,7.232
2000,8,22,21.781999999999996,29.726999999999997,13.835999999999999,1.5519999999999998,0.938,0.252,0.0,9.349
2000,8,23,21.215999999999998,29.794,12.639000000000001,1.3319999999999999,0.8290000000000001,0.228,0.0,5.997999999999999
2000,8,24,21.866,30.98,12.752,1.421,0.873,0.21100000000000002,0.0,9.173
2000,8,25,21.875,28.945,14.804,1.5330000000000001,0.8590000000000001,0.31,0.0,8.84
2000,8,26,21.296999999999997,28.991999999999997,13.603,1.663,0.973,0.34,0.0,9.761000000000001
2000,8,27,21.432,28.971,13.892999999999999,1.683,0.986,0.332,0.0,6.84
2000,8,28,22.424,30.395,14.453,1.696,0.975,0.275,0.0,8.369
2000,8,29,21.962,28.776,15.149000000000001,1.801,0.968,0.397,0.0,11.662
2000,8,30,21.57,28.924,14.216,1.641,0.934,0.34,0.0,6.919
2000,8,31,16.712,21.266,12.159,1.443,0.9590000000000001,0.5579999999999999,0.0,8.604
2000,9,1,19.590999999999998,26.348000000000003,12.834000000000001,1.608,1.008,0.402,0.0,11.78
2000,9,2,19.922,27.294,12.55,1.4269999999999998,0.998,0.228,0.0,9.055
2000,9,3,18.995,28.415,9.575,1.087,0.815,0.175,0.0,8.31
2000,9,4,21.096,30.607,11.585999999999999,1.228,0.752,0.22899999999999998,0.0,6.527
2000,9,5,22.962,32.205999999999996,13.718,1.695,0.929,0.28,0.0,8.918
2000,9,6,21.994,31.184,12.802999999999999,1.5530000000000002,0.9790000000000001,0.195,0.0,10.975999999999999
2000,9,7,17.019000000000002,24.031,10.007,1.062,0.773,0.322,0.0,8.408
2000,9,8,20.163,28.095,12.232000000000001,1.285,0.8079999999999999,0.28,0.0,15.484000000000002
2000,9,9,19.874000000000002,29.113000000000003,10.635,1.128,0.812,0.16,0.0,7.938
